 
Zone db temperature (degC)
For zone: room
 
#Time "Base case       ","U01 0.33        ","U01 0.60        ","U01 0.90        ","U01 1.37        ","U01 3.16        ","U01 0.89        ","U01-0.62        ","U01 1.30        ","M-C run:   9    ",
34.03645,10.7888,10.7689,10.7835,10.7792,10.7743,10.7668,10.7389,10.7745,10.7991,10.7680
34.04687,10.7730,10.7536,10.7678,10.7636,10.7589,10.7515,10.7243,10.7591,10.7830,10.7527
34.05729,10.7551,10.7362,10.7501,10.7460,10.7413,10.7342,10.7075,10.7415,10.7649,10.7353
34.06770,10.7377,10.7193,10.7328,10.7288,10.7243,10.7173,10.6912,10.7245,10.7472,10.7184
34.07812,10.7216,10.7037,10.7168,10.7129,10.7085,10.7017,10.6762,10.7087,10.7308,10.7028
34.08854,10.7065,10.6890,10.7019,10.6981,10.6938,10.6871,10.6622,10.6940,10.7155,10.6882
34.09895,10.6921,10.6751,10.6876,10.6839,10.6797,10.6733,10.6489,10.6799,10.7008,10.6743
34.10937,10.6783,10.6618,10.6740,10.6704,10.6663,10.6600,10.6362,10.6665,10.6868,10.6610
34.11979,10.6650,10.6490,10.6608,10.6573,10.6534,10.6472,10.6240,10.6535,10.6732,10.6482
34.13020,10.6522,10.6366,10.6481,10.6447,10.6409,10.6349,10.6123,10.6410,10.6601,10.6359
34.14062,10.6397,10.6246,10.6357,10.6324,10.6287,10.6230,10.6010,10.6289,10.6473,10.6239
34.15104,10.6274,10.6129,10.6236,10.6205,10.6169,10.6113,10.5899,10.6170,10.6348,10.6122
34.16145,10.6154,10.6014,10.6118,10.6087,10.6053,10.5999,10.5791,10.6054,10.6225,10.6007
34.17187,10.6037,10.5902,10.6002,10.5972,10.5939,10.5887,10.5686,10.5940,10.6105,10.5895
34.18229,10.5921,10.5791,10.5887,10.5859,10.5827,10.5777,10.5582,10.5828,10.5986,10.5785
34.19270,10.5807,10.5683,10.5775,10.5748,10.5717,10.5669,10.5481,10.5718,10.5869,10.5677
34.20312,10.5695,10.5576,10.5665,10.5638,10.5609,10.5563,10.5382,10.5610,10.5754,10.5570
34.21354,10.5554,10.5440,10.5525,10.5500,10.5472,10.5428,10.5253,10.5473,10.5611,10.5435
34.22395,10.5345,10.5237,10.5318,10.5294,10.5267,10.5225,10.5057,10.5268,10.5399,10.5232
34.23437,10.5087,10.4984,10.5061,10.5038,10.5013,10.4972,10.4812,10.5014,10.5137,10.4979
34.24479,10.4810,10.4713,10.4786,10.4764,10.4740,10.4702,10.4549,10.4741,10.4857,10.4708
34.25520,10.4551,10.4459,10.4528,10.4508,10.4485,10.4449,10.4304,10.4486,10.4596,10.4455
34.26562,10.4353,10.4266,10.4331,10.4312,10.4291,10.4257,10.4118,10.4292,10.4394,10.4262
34.27604,10.4200,10.4119,10.4180,10.4162,10.4142,10.4110,10.3978,10.4143,10.4238,10.4115
34.28645,10.4060,10.3985,10.4042,10.4025,10.4007,10.3976,10.3852,10.4007,10.4096,10.3981
34.29687,10.3928,10.3857,10.3911,10.3895,10.3878,10.3849,10.3732,10.3878,10.3961,10.3854
34.30729,10.3799,10.3734,10.3784,10.3769,10.3753,10.3727,10.3616,10.3754,10.3829,10.3731
34.31770,10.3673,10.3613,10.3659,10.3646,10.3631,10.3606,10.3502,10.3631,10.3701,10.3610
34.32812,10.3548,10.3493,10.3535,10.3523,10.3510,10.3487,10.3390,10.3510,10.3573,10.3491
34.33854,10.4309,10.4259,10.4298,10.4287,10.4274,10.4254,10.4163,10.4275,10.4331,10.4257
34.34895,10.6152,10.6108,10.6143,10.6133,10.6122,10.6103,10.6019,10.6122,10.6171,10.6106
